,sn,z,zerr,mpeak,mpeakerr,a,kcorrection,mbpeak,mbeff,mbefferr
0,1990O,0.03,0.002,16.62,0.03,0.39,-0.0,16.23,16.26,0.2
1,1990af,0.05,0.002,17.92,0.01,0.16,0.01,17.75,17.63,0.18
2,1992P,0.026,0.002,16.13,0.03,0.12,-0.01,16.02,16.08,0.24
3,1992ae,0.075,0.002,18.61,0.12,0.15,0.03,18.43,18.43,0.2
4,1992ag,0.026,0.002,16.59,0.04,0.38,-0.01,16.22,16.28,0.2
5,1992al,0.014,0.002,14.6,0.01,0.13,-0.01,14.48,14.47,0.23
6,1992aq,0.101,0.002,19.29,0.12,0.05,0.05,19.19,19.16,0.23
7,1992bc,0.02,0.002,15.2,0.01,0.07,-0.01,15.13,15.18,0.2
8,1992bg,0.036,0.002,17.41,0.07,0.77,0.0,16.63,16.66,0.21
9,1992bh,0.045,0.002,17.67,0.04,0.1,0.01,17.56,17.61,0.19
10,1992bl,0.043,0.002,17.31,0.07,0.04,0.01,17.26,17.19,0.18
11,1992bo,0.018,0.002,15.85,0.02,0.11,-0.01,15.75,15.61,0.21
12,1992bp,0.079,0.002,18.55,0.02,0.21,0.04,18.3,18.27,0.18
13,1992br,0.088,0.002,19.71,0.07,0.12,0.04,19.54,19.28,0.18
14,1992bs,0.063,0.002,18.36,0.05,0.09,0.03,18.24,18.24,0.18
15,1993B,0.071,0.002,18.68,0.08,0.31,0.03,18.34,18.33,0.2
16,1993O,0.052,0.002,17.83,0.01,0.25,0.01,17.58,17.54,0.18
17,1993ag,0.05,0.002,18.29,0.02,0.56,0.01,17.71,17.69,0.2
